,제목,장르모음,출연진,개봉일,등급,상영시간,기본장르
0,기묘한 이야기,"SF 시리즈,청소년 시리즈,미국 TV 프로그램,호러 시리즈",위노나 라이더 데이비드 하버 밀리 바비 브라운 핀 울프하드 게이튼 마타라조 케일럽 맥러플린 노아 슈냅 세이디 싱크 너탈리아 다이어 찰리 히튼 조 키어리 마야 호크 브렛 겔먼 프리아 퍼거슨 데이커 몽고메리 카라 부오노 매튜 모딘 폴 라이저 숀 애스틴 섀넌 퍼서,2016 ,"
15+ ", 시즌 4개 , SF
0,미스터 션샤인,"로맨틱한 드라마,정치 시리즈,드라마,시대물,한국 드라마",이병헌 김태리 유연석 변요한 김민정 김갑수 최무성 김의성 데이비드 리 맥기니스 김병철 이승준 강신일 조우진 이호재,2018 ,"
15+ ", 시즌 1개 , 드라마 장르
0,시그널,"드라마,범죄 시리즈,스릴러 시리즈,한국 드라마",김혜수 이제훈 조진웅 장현성 정해균 김원해 정한비 이유준 손현주,2016 ,"
15+ ", 시즌 1개 , 드라마 장르
0,데이브 샤펠,"코미디 시리즈,스탠드업 코미디,미국 TV 프로그램",데이브 샤펠,2017 ,"
청불 ", 시즌 1개 , 코미디
0,사랑의 불시착,"로맨틱한 드라마,드라마,코미디 시리즈,로맨틱 코미디 시리즈,한국 드라마",현빈 손예진 서지혜 김정현 오만석 김영민 김정난 김선영 황우슬혜,2019 ,"
15+ ", 시즌 1개 , 로맨스
0,스카이 투어: 더 무비,"음악,베트남 작품,다큐멘터리 영화,콘서트 실황",선뚱 M-TP,2020 ,"
전체관람가 ", 1시간 33분 , 다큐멘터리
0,라켓소년단,"드라마,청춘 드라마,청소년 시리즈,코미디 시리즈,한국 드라마",김상경 오나라 탕준상 손상연 최현욱 김강훈 이재인 이지원,2021 ,"
15+ ", 시즌 1개 , 드라마 장르
0,사인필드,"시트콤,코미디 시리즈,미국 TV 프로그램",제리 사인펠드 줄리아 루이드라이퍼스 제이슨 알렉산더 마이클 리처즈 웨인 나이트 하이디 스웨드버그 에스텔 해리스 제리 스틸러,1989 ,"
15+ ", 시즌 9개 , 코미디
0,빈란드 사가,"액션 애니,일본 작품,애니 시리즈,드라마 장르 애니메이션,일본 만화 원작 시리즈",이시가미 시즈카 우에무라 유토 마츠다 켄이치로 우치다 나오야 오노 켄쇼 오츠카 아키오 야스모토 히로키 타케우치 슌스케 사코 마유미 하야시 유 테즈카 히데아키 쿠스노키 타이텐 고마쓰 후미노리 무기히토 우에다 요지,2019 ,"
19+ ", 시즌 1개 , 애니
0,베터 콜 사울,"드라마,범죄 시리즈,미국 TV 프로그램",밥 오든커크 조너선 뱅크스 레이 시혼 마이클 매킨 패트릭 파비언 잔카를로 에스포지토 마이클 맨도 토니 돌턴 케리 콘던 브랜던 K. 햄프턴 마크 마골리스 제러마이아 비추이 라이너 복 로버트 포스터,2015 ,"
청불 ", 시즌 6개 , 드라마 장르
0,보잭 홀스맨,"시트콤,코미디 시리즈,미국 TV 프로그램",윌 아넷 에런 폴 에이미 세다리스 앨리슨 브리 폴 톰킨스,2014 ,"
청불 ", 시즌 6개 , 코미디
0,더 크라운,"정치 시리즈,드라마,영국 작품,TV 프로그램·실화 바탕",이멜다 스톤턴 조너선 프라이스 레슬리 맨빌 올리비아 콜먼 헬레나 본햄 카터 터바이어스 멘지스 클레어 포이 맷 스미스 바네사 커비 도미닉 웨스트 엘리자베스 데비키 조시 오코너 에마 코린 존 리스고 질리언 앤더슨 조니 리 밀러 올리비아 윌리암스 클로디아 해리슨 매리언 베일리 에메랄드 페널 에린 도허티 자레드 해리스 빅토리아 해밀턴 제러미 노섬 알렉스 제닝스 벤 마일즈 윌 킨 해리 해든패튼 다니엘 잉스 그렉 와이즈 해리엇 월터 리아 윌리엄스 앤턴 레서 벤 대니얼스 제이슨 왓킨스 찰스 댄스 마샤 워렌 매튜 구드 핍 토렌스 아일린 앳킨스,2016 ,"
청불 ", 시즌 5개 , 드라마 장르
0,다크,"드라마,독일 작품,SF 시리즈,미스터리 시리즈,범죄 시리즈,스릴러 시리즈",루이스 호프만 올리버 마수치 외르디스 트리벨 마야 쇠네 카롤리네 아이히호른 제바스티안 루돌프 아나톨 타우프만 마르크 바슈케 슈테판 캄프비르트 아네 라테-폴레 안드레아스 피치만 리자 비카리 미하엘 멘들 앙겔라 빙클러,2017 ,"
청불 ", 시즌 3개 , 스릴러
0,검은돈,"범죄 시리즈,다큐시리즈,사회 & 문화 다큐멘터리,미국 TV 프로그램,범죄 실화 다큐멘터리",,2018 ,"
15+ ", 시즌 2개 , 다큐멘터리
0,천성장가,"로맨틱한 드라마,드라마,중국 본토 시리즈,도서 원작 시리즈,액션 & 어드벤처 시리즈,시대물",천쿤 니니 자오리신 니다훙 위안훙 왕어우 바이진팅 장샤오천 메이팅 류민타오 위밍자 허우옌쑹 하이이톈 스안 사오퉁,2018 ,"
15+ ", 시즌 1개 , 드라마 장르
0,힐 하우스의 유령,"도서 원작 시리즈,미스터리 시리즈,미국 TV 프로그램,호러 시리즈",미힐 하위스만 칼라 구지노 티머시 허턴 헨리 토머스 엘리자베스 리저 올리버 잭슨코언 케이트 시걸 빅토리아 퍼드레티 룰루 윌슨 매케나 그레이스 팩스턴 싱글턴 줄리언 힐리어드 바이올렛 맥그로,2018 ,"
청불 ", 시즌 1개 , 호러
0,SKY 캐슬,"드라마,한국 드라마",염정아 이태란 정준호 최원영 윤세아 김병철 오나라 김서형 조재윤 김혜윤 이지원 강찬희 김동희 조병규 박유나 송건희 김보라,2018 ,"
15+ ", 시즌 1개 , 드라마 장르
0,10대 사건으로 보는 제2차 세계대전,"정치 시리즈,영국 작품,다큐멘터리·역사,다큐멘터리·정치,다큐멘터리·밀리터리,다큐시리즈",,2019 ,"
15+ ", 시즌 1개 , 다큐멘터리
0,레녹스힐 닥터스,"메디컬 시리즈,과학 & 자연 TV 프로그램,리얼리티 시리즈,과학 & 자연 다큐멘터리,다큐시리즈,사회 & 문화 다큐멘터리,미국 TV 프로그램",,2020 ,"
15+ ", 시즌 1개 , 다큐멘터리
0,코브라 카이,"드라마,청춘 드라마,코미디 시리즈,액션 & 어드벤처 시리즈,미국 TV 프로그램",랠프 마치오 윌리엄 재브카 숄로 마리두에냐 마틴 코브 메리 마우저 태너 뷰캐넌 코트니 헹겔러 제이컵 버트런드 지아니 디첸조 페이튼 리스트 버네사 루비오 토머스 이언 그리피스 오쿠모토 유지 얼리샤 해나킴,2018 ,"
15+ ", 시즌 5개 , 액션
0,존 드로리안: 디트로이트의 왕,"영국 작품,범죄 시리즈,다큐시리즈",,2021 ,"
15+ ", 시즌 1개 , 다큐멘터리
0,원 나잇 인 파리,"프랑스 작품,스탠드업 코미디",로만 프레시네 키안 코장디 지모 케브 아담스 분 아이 민 베리노 아킴 제밀리 피에르에마뉘엘 바레 파딜리 카마라 쉬를레 수아뇽 톰 빌라 카미유 를루슈 르두안 부게라바 사뮈엘 방비 둘리 알방 이바노프 파리 아메드 실라,2021 ,"
청불 ", 1시간 4분 , 코미디
0,2,"스페인 작품,스릴러 영화",파블로 데르키 마리나 가텔,2021 ,"
청불 ", 1시간 11분 , 스릴러
0,우리의 특별한 새해전야,"프랑스 작품,로맨스·엉뚱하고 기발,로맨틱 코미디 영화,코미디 영화,로맨틱한 영화",케브 아담스 카미유 를루슈,2022 ,"
15+ ", 59분 , 코미디
0,셰프의 테이블,"음식 & 여행 시리즈,다큐시리즈,미국 TV 프로그램",,2015 ,"
15+ ", 시즌 6개 , 다큐멘터리
0,아처,"시트콤,코미디 시리즈,액션 & 어드벤처 시리즈,미국 TV 프로그램",H. 존 벤자민 주디 그리어 앰버 내쉬 크리스 파넬 아이샤 타일러 제시카 월터 럭키 예이츠 아담 리드,2009 ,"
청불 ", 시즌 13개 , 코미디
0,살인자 만들기,"범죄 시리즈,다큐시리즈,사회 & 문화 다큐멘터리,미국 TV 프로그램,범죄 실화 다큐멘터리",,2015 ,"
15+ ", 시즌 2개 , 다큐멘터리
0,행복한 퍼핀 가족,"키즈 시리즈,아일랜드 작품,만화 시리즈",크리스 오다우드 케이트 맥카퍼티 샐리 맥데이드 제랄딘 콜 브라이언 맥모내글 다라 가르강,2015 ,"
전체관람가 ", 시즌 2개 , 키즈
0,웬트워스,"드라마,호주 작품,범죄 시리즈",다니엘 코맥 니콜 다 실바 케이트 앳킨슨 셀리아 아일랜드 샤리나 클랜튼 아론 제퍼리 로비 마가시바 카트리나 밀로세비츠 재클린 브레넌 라 채프먼 패멀라 레이브 시그리드 손튼 소크라티스 오토 버너드 커리 태미 매킨토시 케이트 젱킨슨 라리워이 힉 리아 퍼셀 수지 포터,2013 ,"
청불 ", 시즌 8개 , 드라마 장르
0,바이킹스,"정치 시리즈,드라마,캐나다 작품,액션 & 어드벤처 시리즈,시대물",트래비스 피멀 캐서린 위닉 클라이브 스탠든 구스타프 스카르스고르드 제슬린 길직 조지 블래그든 게이브리얼 번 알리사 서덜랜드 다널 로귀 알렉산더 러드위그 라이너스 로체 벤 롭슨 케빈 두런드 로테르 블뤼토 존 카바나 페테르 프란센 야스페르 파코넨 모 던포드 알렉스 회이 아네르센 마르코 일쇠 다비드 린스트룀 조던 패트릭 스미스 조나단 리스 마이어스 다닐라 코즐롭스키,2013 ,"
청불 ", 시즌 6개 , 드라마 장르
0,빨간 머리 앤,"드라마,가족이 함께 보는 시리즈,청춘 드라마,캐나다 작품,도서 원작 시리즈,청소년 시리즈,시대물",에이미베스 맥널티 제럴딘 제임스 R.H. 톰슨 코린 코슬로 덜릴라 벨라 루카스 제이드 주먼 에머릭 젯 몬태즈 달마 어부제이드 코리 그루터앤드루 조애나 더글러스,2017 ,"
12+ ", 시즌 3개 , 드라마 장르
0,퀴어 아이,"리얼리티 시리즈,미국 TV 프로그램,라이프스타일",바비 버크 카라모 브라운 탠 프랜스 안토니 퍼로스키 조너선 밴 네스,2018 ,"
15+ ", 시즌 7개 , 리얼리티 TV
0,마인드헌터,"드라마,도서 원작 시리즈,미스터리 시리즈,범죄 시리즈,미국 TV 프로그램,스릴러 시리즈",조너선 그로프 홀트 맥칼라니 애나 토브 코터 스미스 해나 그로스 마이클 서베리스 조 터틀 앨버트 존스 스테이시 로카 캐머런 브리튼,2017 ,"
청불 ", 시즌 2개 , 스릴러
0,아틀란타,"음악,드라마,힙합,코미디 시리즈,미국 TV 프로그램",도널드 글로버 브라이언 타이리 헨리 러키스 스탠필드 자시 베츠,2016 ,"
청불 ", 시즌 3개 , 드라마 장르
0,힐다,"키즈 시리즈,만화 시리즈,코믹스 원작 시리즈",벨라 램지 아미라 팔존-오조 올리버 넬슨 데이지 해거드 래즈머스 하디커,2018 ,"
전체관람가 ", 시즌 2개 , 키즈
0,루폴의 드래그 레이스: 올스타,"경쟁 리얼리티 시리즈,리얼리티 시리즈,미국 TV 프로그램",루폴 찰스 미셸 비자주 카슨 크레슬리 로스 매슈스,2012 ,"
청불 ", 시즌 2개 , 리얼리티 TV
0,"F1, 본능의 질주","영국 작품,다큐시리즈",,2019 ,"
12+ ", 시즌 5개 , 다큐멘터리
0,"러브, 데스 + 로봇","SF 시리즈,액션 & 어드벤처 시리즈,미국 TV 프로그램,스릴러 시리즈,호러 시리즈",조 맹거넬로 로자리오 도슨 세스 그린 마이클 B. 조던 엘로디 융 조 뎀시 토퍼 그레이스 메리 엘리자베스 윈스테드 게리 콜 서미라 와일리 다이스케 쓰지 모리스 라마시 리베카 리디 헬런 새들러 헤일리 매클로클린 타임 윈터스 엘리 콘드런 스테판 카피치치 브루스 토마스 제프 버그 애런 히믈스타인 카를로스 엘라즈라퀴 질 탤리 브라이언 블룸 크리스 콕스 마이클 벤이어 프레드 타타시오르 스콧 화이트 조쉬 브레너 게리 앤서니 윌리엄스 크리스 파넬 그레이엄 해밀턴 애덤 바틀리 케빈 마이클 리처드슨 에마 소넷 헨리 다우스웨이트 매들린 나이트 레베카 바나트발라 커크 쏜튼 유리 로웬탈 일레인 탄 매슈 양 킹 그웬돌린 요 닐 캐플런 G.K. 보스 코트니 테일러 낸시 리나리 벤 지루 브라이언 킨 아치 마데퀘 서배스천 크로프트 베아트리스 고디뉴 알렉산더 로보 모레노 놀런 노스 에밀리 오브라이언 루이 베르나르 무니아 물라 스티븐 페이시 디비 미탈 사미 암베르 제임스 프레스턴 로저스 매켄지 데이비스 조엘 맥헤일 가브리엘 루나 스티브 블럼 앤드루 키시노 제이슨 조지 크레이그 퍼거슨 댄 스티븐스 크리스천 서라토스 자이 코트니,2019 ,"
청불 ", 시즌 3개 , SF
0,다크 크리스탈: 저항의 시대,"정치 시리즈,드라마,가족이 함께 보는 시리즈,액션 & 어드벤처 시리즈,미국 TV 프로그램,판타지 시리즈",태런 에저턴 내털리 이매뉴얼 안야 테일러조이 도나 킴벌 마크 해밀 사이먼 페그 헬레나 본햄 카터 리나 히디 알리시아 비칸데르 아콰피나 구구 음바타로 베네딕트 웡 커트리나 밸프 내털리 도머 하비 파이어스틴 앤디 샘버그 랠프 아이너슨 제이슨 아이작스 에디 이자드 시오 제임스 해나 존카먼 토비 존스 키건마이클 키 마크 스트롱 시고니 위버 올라퓌르 다리 올라프손,2019 ,"
12+ ", 시즌 1개 , 판타지
0,터널,"드라마,태국 작품,미스터리 시리즈,범죄 시리즈,스릴러 시리즈",톳사폰 마이숙 조니 하오 모라꼿 리우 뻬미 프레민 탑깨우 펜펫 펜꾼 수멧 옹앗 아마린 니띠폰 또 떼차투와난 콤산 카쫀파이산숙,2019 ,"
청불 ", 시즌 1개 , 스릴러
0,사이키 쿠스오의 재난: 끝난 줄 알았지?,"일본 소년 만화를 만나다,SF & 판타지 애니,일본 작품,애니 시리즈,학교 배경 애니,일본 만화 원작 시리즈",카미야 히로시 오노 다이스케 시마자키 노부나가 히노 사토시 하나에 나츠키 카야노 아이 타무라 유카리 우치다 마아야 호소야 요시마사 마츠카제 마사야 마에노 토모아키 노지마 켄지 이와타 미쓰오 아이카와 리카코 카지 유우키 기타무라 에리 M·A·O 오노 켄쇼 도리우미 고스케 토야마 나오,2019 ,"
15+ ", 시즌 1개 , 애니
0,센과 치히로의 행방불명,"가족 영화,어린이 & 가족 영화,일본 작품,애니메이션 영화",히이라기 루미 이리노 미유 나쓰키 마리 나이토 다카시 사와구치 야스코 가슈인 다쓰야 가미키 류노스케 다마이 유미 오오이즈미 요 스가와라 분타 하야시코바,2001 ,"
전체관람가 ", 2시간 5분 , 키즈
0,라인 오브 듀티,"드라마,영국 작품,범죄 시리즈,스릴러 시리즈",마틴 콤프스턴 레니 제임스 빅키 맥클르 아드리안 던버 닐 모리시 킬리 호스 크레이그 파킨슨 피오나 보일런 케이트 애쉬필드 지나 맥키 폴 히긴스 클레어 키란 세프론 데이비스 제시카 레인 탄디웨 뉴턴,2012 ,"
청불 ", 시즌 2개 , 드라마 장르
0,도깨비,"로맨틱한 드라마,드라마,판타지 시리즈,한국 드라마",공유 김고은 이동욱 유인나 육성재 이엘 조우진 정해인 황석정,2016 ,"
15+ ", 시즌 1개 , 로맨스
0,러브 온 더 스펙트럼: 호주,"호주 작품,결혼식 & 로맨스 리얼리티 TV,리얼리티 시리즈,다큐시리즈",브룩 새치웰,2019 ,"
12+ ", 시즌 2개 , 다큐멘터리
0,트리 오브 피스,"드라마 영화,인디 영화,미국 영화",엘리안 우무히레 샤메인 빙과 엘라 캐넌 볼라 콜레오쇼 통가이 치리사,2022 ,"
15+ ", 1시간 38분 , 드라마 장르
0,신이 선택한 바보,"시트콤,코미디 시리즈,미국 TV 프로그램,판타지 시리즈",멀리사 매카시 벤 팰콘 레슬리 비브 우스만 알리 애나 스코트니 크리스 샌디포드 케빈 던 스티브 맬러리 야닉 트루즈데일 리온 포드 마그다 슈반스키,2022 ,"
15+ ", 시즌 1개 , 코미디
0,슬럼버랜드,"가족 영화,어린이 & 가족 영화,미국 영화",제이슨 모모아 말로 바클리 크리스 오다우드 카일 챈들러 웨루체 오피아 인디아 드 보포트 험벌리 곤살레스,2022 ,"
전체관람가 ", 2시간 , 키즈
