,제목,장르모음,시놉시스,특징,출연진,개봉일,등급,상영시간,기본장르,nfid,imdbid
0,블랙 미러,"드라마,영국 작품,SF 시리즈,스릴러 시리즈","인간이 지닌 최악의 본성, 최고의 혁신 등을 드러내는 연작 시리즈. 틀을 깨는 기이하고 과감한 이야기들이 펼쳐진다.","발상의 전환,불길한","제시 플레먼스,크리스틴 밀리오티,지미 심슨,미케일라 코얼,로즈마리 드윗,더글라스 하지,안드레아 라이즈보로,브레나 하딩,오웬 티그,앤드루 고워,키란 소냐 사와,조지나 캠벨,조 콜,맥신 피크,제이크 데이비스,클린트 다이어,러티샤 라이트,뱁스 울루사모쿤,브라이스 댈러스 하워드,앨리스 이브,마이클 켈리,체리 존스,구구 음바타로,매켄지 데이비스,와이엇 러셀,베네딕트 웡,켈리 맥도널드,페이 마르세이,매들린 브루어,해나 존카먼,맬러카이 커비,알렉스 로더,제롬 플린,제임스 노턴,로리 키니어,린제이 던칸,대니얼 컬루야,제시카 브라운 핀들리,루퍼트 에버릿,토비 켑벨,조디 휘테커,헤일리 애트웰,도널 글리슨,레노라 크릭클로우,마이클 스마일리,다니엘 리그비,클로이 피리,제이슨 플레밍,존 햄,우나 채플린,레이프 스폴,앤서니 매키,야히아 압둘마틴 2세,태미 브라운,앤드루 스콧,댐슨 이드리스,토퍼 그레이스,마일리 사이러스,매디슨 대븐포트,앵거리 라이스,애니 머피,셀마 헤이엑,새뮤얼 블렝킨,마이할라 헤럴드,에런 폴,조시 하트넷,케이트 마라,자시 베츠,클라라 루고르,대니 라미레즈,안자나 바산,파파 에시에두,",2011 ,"
청불 ", 시즌 6개 , 드라마 장르,70264888,tt2085059
0,피키 블라인더스,"드라마,영국 작품,시대물,범죄 시리즈","1919년 영국 버밍엄. 토마스 셸비를 주축으로 한 셸비 가문은 악명 높은 범죄 조직 ""피키 블라인더스""를 이끌고 암흑가의 정상을 차지하기 위해 수단과 방법을 가리지 않는다.",폭력적인,"킬리언 머피,샘 닐,헬렌 매크로리,폴 앤더슨,이도 골드버그,애나벨 월리스,소피 런들,톰 하디,조 콜,네드 데네히,앤디 나이맨,찰리 크리드 마일즈,샬롯 라일리,데이비드 도슨,제프리 포스틀스웨이트,매튜 포스틀스웨이트,이언 펙,토니 피츠,에이든 길런,에이드리언 브로디,찰리 머피,에이미 피온 에드워즈,안야 테일러조이,샘 클래플린,핀 콜,너태샤 오키프,",2013 ,"
청불 ", 시즌 6개 , 드라마 장르,80002479,tt2442560
0,하우스 오브 카드,"정치 시리즈,드라마,미국 TV 프로그램,스릴러 시리즈",미국 역사상 첫 여성 대통령에 취임한 클레어 언더우드. 전임 대통령이자 남편이었던 프랭크의 그늘에서 벗어날 수 있을까. 거대한 반대 세력이 그녀의 행보를 가로막는다.,어두운,"로빈 라이트,마이클 켈리,다이앤 레인,그레그 키니어,캠벨 스코트,퍼트리샤 클라크슨,데릭 세실,코디 펀,보리스 맥가이버,사키나 제이프리,라르스 미켈슨,케빈 스페이시,케이트 마라,코리 스톨,크리스튼 코놀리,세바스찬 아셀러스,네이선 대로우,샌드린 홀트,마이클 길,엘리자베스 노멘트,마허샬라 알리,레지 E. 캐시,몰리 파커,엘리자베스 마블,킴 디킨스,조엘 킨나만,네브 캠벨,콘스탄스 짐머,",2013 ,"
청불 ", 시즌 6개 , 스릴러,70178217,tt1856010
0,나르코스,"드라마,액션 & 어드벤처 시리즈,범죄 시리즈,미국 TV 프로그램,스릴러 시리즈,TV 프로그램·실화 바탕","콜롬비아의 에스코바르와 로스 페페스는 세계 최대의 마약 제국을 건설하고 미국의 공공의 적이 된다. 카르텔과 양국 정부의 피비린내 나는 전쟁, 이것은 실화다.","어두운,긴장감 넘치는,흥미진진","바그네르 모라,페드로 파스칼,보이드 홀브룩,다미안 알카사르,알베르토 아만,프란시스코 데니스,페페 하파조트,마티아스 바렐라,마이클 스탈 데이빗,맷 휠런,아르투로 카스트로,하비에르 카마라,호세 마리아 야스피크,에릭 랭,브래트 컬렌,미겔 앙헬 실베스트레,케리 비쉬,폴리나 게이탠,크리스티나 우마냐,파울리나 가르시아,후안 세바스티안 칼레로,조애나 크리스티,탈리아나 바르가스,안드레아 론도,마놀로 카르도나,디에고 카타노,라울 멘데스,브루노 비쉬어,스테파니 시그먼,플로렌시아 로자노,후안 파블로 라바,레이나르 고메스,콘스탄틴 멜리호프,마르티나 가르시아,모리스 콤프티,마우리시오 쿠하르,호르헤 몬테로사,헤르만 하라미요,후안 파블로 슈크,훌리안 디아스,알레한드로 부이트라고,페데리코 리베라,",2015 ,"
청불 ", 시즌 3개 , 드라마 장르,80025172,tt2707408
0,기묘한 이야기,"SF 시리즈,청소년 시리즈,미국 TV 프로그램,호러 시리즈","인디애나주의 작은 마을에서 행방불명된 소년. 이와 함께 미스터리한 힘을 가진 소녀가 나타나고, 마을에는 기묘한 현상들이 일어나기 시작한다. 아들을 찾으려는 엄마와 마을 사람들은 이제 정부의 일급비밀 실험의 실체와 무시무시한 기묘한 현상들에 맞서야 한다.","불길한,무서운","위노나 라이더,데이비드 하버,밀리 바비 브라운,핀 울프하드,게이튼 마타라조,케일럽 맥러플린,노아 슈냅,세이디 싱크,너탈리아 다이어,찰리 히튼,조 키어리,마야 호크,브렛 겔먼,프리아 퍼거슨,데이커 몽고메리,카라 부오노,매튜 모딘,폴 라이저,숀 애스틴,섀넌 퍼서,",2016 ,"
15+ ", 시즌 4개 , SF,80057281,tt4574334
0,미스터 션샤인,"로맨틱한 드라마,정치 시리즈,드라마,시대물,한국 드라마","1871년, 한 소년이 미국 군함을 타고 조선을 떠난다. 세월이 흐르고, 미군 장교가 되어 조국으로 돌아온 남자. 격변하는 역사 속에서, 그는 운명을 뒤흔들 여인을 만난다.","달콤 쌉싸름,감정을 파고드는,흥미진진","이병헌,김태리,유연석,변요한,김민정,김갑수,최무성,김의성,데이비드 리 맥기니스,김병철,이승준,강신일,조우진,이호재,",2018 ,"
15+ ", 시즌 1개 , 드라마 장르,80991107,tt7094780
0,시그널,"드라마,범죄 시리즈,스릴러 시리즈,한국 드라마",과거와 현재를 잇는 무전기를 통해 대화를 나누는 1989년의 형사와 2015년의 프로파일러. 그리고 두 사람 모두와 연결되어 있는 또 한 명의 형사. 사건을 해결하고 정의를 실현하기 위한 기묘한 공조 수사가 시작된다.,"어두운,긴장감 넘치는","김혜수,이제훈,조진웅,장현성,정해균,김원해,정한비,이유준,손현주,",2016 ,"
15+ ", 시즌 1개 , 드라마 장르,80987077,tt5332206
0,데이브 샤펠,"코미디 시리즈,스탠드업 코미디,미국 TV 프로그램",독한 쇼가 왔다! 최초 공개되는 두 편의 스탠드업 스페셜로 돌아온 데이브 샤펠이 꽁꽁 숨겨두었던 비장의 토크 보따리를 풀어놓는다.,아찔하고 발칙하게,"데이브 샤펠,",2017 ,"
청불 ", 시즌 1개 , 코미디,80171965,tt0251654
0,사랑의 불시착,"로맨틱한 드라마,드라마,코미디 시리즈,로맨틱 코미디 시리즈,한국 드라마","뜻밖의 돌풍은 행운일까, 불운일까. 패러글라이딩 사고로 북한에 불시착한 재벌 딸. 그곳에서 깐깐한 북한군 장교를 만난다. 이 와중에 피어오르는 낯선 감정은 뭐지?","설렘주의,진심 어린,로맨틱","현빈,손예진,서지혜,김정현,오만석,김영민,김정난,김선영,황우슬혜,",2019 ,"
15+ ", 시즌 1개 , 로맨스,81159258,tt10850932
0,스카이 투어: 더 무비,"음악,베트남 작품,다큐멘터리 영화,콘서트 실황","베트남 싱어송라이터 선 뚱 M-TP. 그의 투어 콘서트 준비 과정과 공연 실황을 다큐멘터리로 담았다. 열정적인 퍼포먼스와 무대 밖 이야기를 통해, 수많은 팬을 열광케 한 V-pop 대표 주자의 매력과 음악 세계에 빠져보자.","감명을 주는,기분 좋아지는","선뚱 M-TP,",2020 ,"
전체관람가 ", 1시간 33분 , 다큐멘터리,81318380,tt12486200
